Member Ref*,Title,Last name*,First name,Gender,Login*,Password,Member type id*,Nature of the member*,Company,Address,Zip Code,City,StateId|StateCode,CountryId|CountryCode,Bus. phone,Pers. phone,Mobile,Email,Birthday,Status*,Picture,Note (public),Note (private),Creation date,End date of membership
MEM2023-9876,MR,Johnson,Katherine,woman,kjohnson,passdekjohnson,1,"phy",JK Tech,123 Main Street,55000,New York,,1,,,,kjohnson@exemple.com,1972-10-10,1,,commentaire publique,commentaire privée,2023-11-29,2024-11-29
MEM2023-8765,MR,Williams,James,man,jwilliams,passdejwilliams,1,"phy",Tech Innovations,456 Oak Street,75001,Paris,,2,,,,jwilliams@exemple.com,1985-05-15,1,,commentaire publique,commentaire privée,2023-11-29,2024-11-29
MEM2023-7654,MR,Anderson,Olivia,woman,oanderson,passdeoanderson,1,"phy",Global Dynamics,789 Pine Avenue,90210,Los Angeles,CA,3,US,1-555-555-5555,,oanderson@exemple.com,1980-08-22,1,,commentaire publique,commentaire privée,2023-11-29,2024-11-29
MEM2023-6543,MR,Smith,David,man,dsmith,passdedsmith,1,"phy",Data Solutions,101 Elm Street,94102,San Francisco,CA,3,US,1-415-123-4567,,dsmith@exemple.com,1978-03-18,1,,commentaire publique,commentaire privée,2023-11-29,2024-11-29
MEM2023-5432,MR,Li,Amy,woman,ali,passdeali,1,"phy",InnoTech,555 Pine Street,60601,Chicago,IL,3,US,1-312-555-7890,,ali@exemple.com,1990-12-05,1,,commentaire publique,commentaire privée,2023-11-29,2024-11-29
MEM2023-4321,MR,Smith,Christopher,man,csmith,passdecsmith,1,"phy",Tech Solutions,456 Oak Street,75002,Paris,,2,,,,csmith@exemple.com,1988-07-20,1,,commentaire publique,commentaire privée,2023-11-29,2023-12-31
MEM2023-3210,MR,Kim,Jennifer,woman,jkim,passdejkim,1,"phy",Global Innovations,789 Maple Avenue,90211,Los Angeles,CA,3,US,1-310-555-1234,,jkim@exemple.com,1975-11-12,1,,commentaire publique,commentaire privée,2023-11-29,2024-11-29
MEM2023-2109,MR,Miller,Matthew,man,mmiller,passdemmiller,1,"phy",Data Dynamics,101 Pine Street,94103,San Francisco,CA,3,US,1-415-234-5678,,mmiller@exemple.com,1982-02-28,1,,commentaire publique,commentaire privée,2023-11-29,2023-06-15
MEM2023-1098,MR,Nguyen,Michelle,woman,mnguyen,passdemnguyen,1,"phy",InnoTech,999 Elm Street,60602,Chicago,IL,3,US,1-312-555-5678,,mnguyen@exemple.com,1987-09-15,1,,commentaire publique,commentaire privée,2023-11-29,2023-09-30
MEM2023-9877,MR,Smith,Olivia,woman,osmith,passdeosmith,1,"phy",Tech Solutions,345 Pine Street,75003,Paris,,2,,,,osmith@exemple.com,1990-05-18,1,,commentaire publique,commentaire privée,2023-11-29,2024-11-29
MEM2023-8764,MR,Johnson,Nathan,man,njohnson,passdenjohnson,1,"phy",Global Innovations,567 Birch Avenue,90212,Los Angeles,CA,3,US,1-310-555-5678,,njohnson@exemple.com,1980-12-01,1,,commentaire publique,commentaire privée,2023-11-29,2023-08-31
